objectid,stationcode,sampledate,projectcode,eventcode,protocolcode,agencycode,samplecomments,locationcode,geometryshape,collectionmethodcode,sampletypecode,replicate,collectiondevicename,sievesize,collectiondepth,unitcollectiondepth,sampleid,benthiccollectioncomments,grabsize,unitgrabsize,replicatename,replicatecollectiondate,numberjars,benthiccollectiondetailcomments,agencycode_labeffort,personnelcode_labeffort,percentsamplecounted,totalgrids,gridsanalyzed,gridsvolumeanalyzed,targetorganismcount,actualorganismcount,extraorganismcount,qcorganismcount,discardedorganismcount,effortqacode,benthiclabeffortcomments,finalid,lifestagecode,baresult,result,unitname,resqualcode,qacode,compliancecode,batchverificationcode,taxonomicqualifier,excludedtaxa,personnelcode_result,labsampleid,enterdate,benthicresultcomments,distinctcode,record_origin,origin_lastupdatedate,record_publish,originalid,login_agency,login_owner,login_year,login_email,login_project,globalid,created_user,created_date,last_edited_user,last_edited_date,collectiontime,ceden_publish,asci_sampleid,masterid
32432765,902NP9CWC,2017-03-20T07:00:00Z,RWB9_NPS_2017,NA,SWAMP_2016_WS,RWQCB9-San Diego Region,NA,X,Point,Algae_SWAMP,Microalgae,1,RubDelim & PVCDelim & SyrScrub,None,NA,m,NA,NA,102.1,cm2,NA,NA,NA,NA,RWQCB9-San Diego Region,NA,NA,40.00000000,4.00000000,NA,300,390,0.00000000,0.00000000,NA,NA,NA,Oedogonium sp 2,Not Recorded,NA,468.31136030,um3/cm2,=,None,NA,NA,None,NA,NA,NA,NA,NA,0,CEDEN,NA,NA,NA,NA,NA,NA,NA,NA,{00000000-0000-0000-0000-000000000000},NA,NA,NA,1970-01-01T08:00:00Z,10:09,NA,902NP9CWC_2017-03-20_1,902NP9CWC
32399283,903NP9SLR,2016-03-22T07:00:00Z,RWB9_NPS_2016,NA,SWAMP_2007_WS,RWQCB9-San Diego Region,NA,X,Point,Algae_SWAMP,Macroalgae,1,RubDelim & PVCDelim & SyrScrub,None,NA,m,NA,NA,124,cm2,NA,NA,NA,NA,RWQCB9-San Diego Region,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Geminella ellipsoidea,NR,NA,1422580645.20000000,um3/cm2,=,None,NA,NA,None,NA,NA,NA,NA,NA,0,CEDEN,NA,NA,NA,NA,NA,NA,NA,NA,{00000000-0000-0000-0000-000000000000},NA,NA,NA,1970-01-01T08:00:00Z,10:30,NA,903NP9SLR_2016-03-22_1,903NP9SLR
32524134,801SANT1x,2013-03-12T07:00:00Z,SDCounty_NPS_2012,NA,SWAMP_07_EMAP_01_WS,Southern California Coastal Water Research Project,NA,X,Point,Algae_RWB,Microalgae,1,RubDelim & PVCDelim & SyrScrub,None,NA,m,NA,NA,328.2,cm2,NA,NA,NA,NA,Southern California Coastal Water Research Project,NA,0.00000000,44.00000000,11.00000000,NA,300,304,0.00000000,0.00000000,NA,NA,NA,Chlorophyta 1,NR,NA,25924.13437500,um3/cm2,=,None,NA,NA,None,NA,NA,NA,NA,NA,0,CEDEN,NA,NA,NA,NA,NA,NA,NA,NA,{00000000-0000-0000-0000-000000000000},NA,NA,NA,1970-01-01T08:00:00Z,08:37,NA,801SANT1x_2013-03-12_1,801SANT1x
32524194,801SANT1x,2013-04-01T07:00:00Z,SDCounty_NPS_2012,NA,SWAMP_07_EMAP_01_WS,AMEC Environment & Infrastructure,NA,X,Point,Algae_RWB,Integrated,1,RubDelim & PVCDelim & SyrScrub,None,NA,m,NA,NA,364.7,cm2,NA,NA,NA,NA,AMEC Environment & Infrastructure,NA,0.00000000,NA,NA,NA,600,600,NA,NA,NA,NA,NA,Rhoicosphenia abbreviata,NR,18,NA,count,=,None,NA,NA,None,NA,NA,6435.13-06,NA,NA,0,CEDEN,NA,NA,NA,NA,NA,NA,NA,NA,{00000000-0000-0000-0000-000000000000},NA,NA,NA,1970-01-01T08:00:00Z,12:20,NA,801SANT1x_2013-04-01_1,801SANT1x
32486863,911NP9HTC,2019-04-23T07:00:00Z,R9_NS_Ambient_FY1819,NA,SWAMP_2016_WS,RWQCB9-San Diego Region,NA,X,Point,Algae_SWAMP,Integrated,1,RubDelim & PVCDelim & SyrScrub,None,NA,M,NA,NA,109.4,cm2,NA,NA,NA,NA,RWQCB9-San Diego Region,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gomphonema aequale,NR,8,NA,count,=,BQC,NA,NA,None,NA,NA,NA,NA,NA,0,CEDEN,NA,NA,NA,NA,NA,NA,NA,NA,{00000000-0000-0000-0000-000000000000},NA,NA,NA,1970-01-01T08:00:00Z,09:00,NA,911NP9HTC_2019-04-23_1,911NP9HTC
32524154,801SANT1x,2013-04-01T07:00:00Z,SDCounty_NPS_2012,NA,SWAMP_07_EMAP_01_WS,AMEC Environment & Infrastructure,NA,X,Point,Algae_RWB,Integrated,1,RubDelim & PVCDelim & SyrScrub,None,NA,m,NA,NA,364.7,cm2,NA,NA,NA,NA,AMEC Environment & Infrastructure,NA,0.00000000,NA,NA,NA,600,600,NA,NA,NA,NA,NA,Adlafia minuscula,NR,2,NA,count,=,None,NA,NA,None,NA,NA,6435.13-06,NA,NA,0,CEDEN,NA,NA,NA,NA,NA,NA,NA,NA,{00000000-0000-0000-0000-000000000000},NA,NA,NA,1970-01-01T08:00:00Z,12:20,NA,801SANT1x_2013-04-01_1,801SANT1x
32524220,801SANT1x,2013-04-01T07:00:00Z,SDCounty_NPS_2012,NA,SWAMP_07_EMAP_01_WS,AMEC Environment & Infrastructure,NA,X,Point,Algae_RWB,Qualitative,1,Individual Collection by hand,None,NA,m,NA,NA,NA,NA,NA,NA,NA,NA,AMEC Environment & Infrastructure,NA,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Spirogyra teodoresci,NR,NA,NA,count,P,None,NA,NA,None,NA,NA,NA,NA,NA,0,CEDEN,NA,NA,NA,NA,NA,NA,NA,NA,{00000000-0000-0000-0000-000000000000},NA,NA,NA,1970-01-01T08:00:00Z,12:20,NA,801SANT1x_2013-04-01_1,801SANT1x
32524079,801SANT1x,2013-03-12T07:00:00Z,SDCounty_NPS_2012,NA,SWAMP_07_EMAP_01_WS,Southern California Coastal Water Research Project,NA,X,Point,Algae_RWB,Epiphyte,1,RubDelim & PVCDelim & SyrScrub,None,NA,m,NA,NA,328.2,cm2,NA,NA,NA,NA,Southern California Coastal Water Research Project,NA,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Calothrix epiphytica,NR,3,NA,count,=,None,NA,NA,None,NA,NA,NA,NA,NA,0,CEDEN,NA,NA,NA,NA,NA,NA,NA,NA,{00000000-0000-0000-0000-000000000000},NA,NA,NA,1970-01-01T08:00:00Z,08:37,NA,801SANT1x_2013-03-12_1,801SANT1x
32524080,801SANT1x,2013-03-12T07:00:00Z,SDCounty_NPS_2012,NA,SWAMP_07_EMAP_01_WS,Southern California Coastal Water Research Project,NA,X,Point,Algae_RWB,Epiphyte,1,RubDelim & PVCDelim & SyrScrub,None,NA,m,NA,NA,328.2,cm2,NA,NA,NA,NA,Southern California Coastal Water Research Project,NA,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chaetophorales 3,NR,8,NA,count,=,None,NA,NA,None,NA,NA,NA,NA,NA,0,CEDEN,NA,NA,NA,NA,NA,NA,NA,NA,{00000000-0000-0000-0000-000000000000},NA,NA,NA,1970-01-01T08:00:00Z,08:37,NA,801SANT1x_2013-03-12_1,801SANT1x
32524081,801SANT1x,2013-03-12T07:00:00Z,SDCounty_NPS_2012,NA,SWAMP_07_EMAP_01_WS,Southern California Coastal Water Research Project,NA,X,Point,Algae_RWB,Epiphyte,1,RubDelim & PVCDelim & SyrScrub,None,NA,m,NA,NA,328.2,cm2,NA,NA,NA,NA,Southern California Coastal Water Research Project,NA,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Heteroleibleinia sp 1,NR,87,NA,count,=,None,NA,NA,None,NA,NA,NA,NA,NA,0,CEDEN,NA,NA,NA,NA,NA,NA,NA,NA,{00000000-0000-0000-0000-000000000000},NA,NA,NA,1970-01-01T08:00:00Z,08:37,NA,801SANT1x_2013-03-12_1,801SANT1x
