objectid,stationcode,sampledate,agencycode,replicate,sampleid,benthiccollectioncomments,grabsize,percentsamplecounted,totalgrids,gridsanalyzed,gridsvolumeanalyzed,targetorganismcount,actualorganismcount,extraorganismcount,qcorganismcount,discardedorganismcount,benthiclabeffortcomments,finalid,lifestagecode,distinctcode,baresult,resqualcode,qacode,taxonomicqualifier,personnelcode_labeffort,personnelcode_results,labsampleid,locationcode,samplecomments,collectionmethodcode,effortqacode,record_origin,origin_lastupdatedate,record_publish,csci_sampleid,agencyname,collectionmethodname,originalid,created_user,created_date,last_edited_user,last_edited_date,login_email,login_agency,login_owner,login_year,login_project,submissionid,ceden_publish,sampleinfo_originalid,bmisampleid,masterid
1570163835,801SANT1x,2013-03-12T07:00:00Z,Southern California Coastal Water Research Project,1,NA,NA,0.99,NA,7,5,2.875,600,600,2,2,NA,NA,Agabus,L,0,5,=,None,None,NA,NA,20639,X,NA,BMI_RWB_MCM,None,CEDEN,NA,NA,801SANT1x_03122013_BMI_RWB_MCM_1,Southern California Coastal Water Research Project,BMI_Margin-Ctr-Margin,NA,NA,NA,NA,1970-01-01T08:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,801SANT1x
1570163836,801SANT1x,2013-03-12T07:00:00Z,Southern California Coastal Water Research Project,1,NA,NA,0.99,NA,7,5,2.875,600,600,2,2,NA,NA,Atractides,X,0,102,=,None,None,NA,NA,20639,X,NA,BMI_RWB_MCM,None,CEDEN,NA,NA,801SANT1x_03122013_BMI_RWB_MCM_1,Southern California Coastal Water Research Project,BMI_Margin-Ctr-Margin,NA,NA,NA,NA,1970-01-01T08:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,801SANT1x
1570163837,801SANT1x,2013-03-12T07:00:00Z,Southern California Coastal Water Research Project,1,NA,NA,0.99,NA,7,5,2.875,600,600,2,2,NA,NA,Baetis,L,0,2,=,None,None,NA,NA,20639,X,NA,BMI_RWB_MCM,None,CEDEN,NA,NA,801SANT1x_03122013_BMI_RWB_MCM_1,Southern California Coastal Water Research Project,BMI_Margin-Ctr-Margin,NA,NA,NA,NA,1970-01-01T08:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,801SANT1x
1570163838,801SANT1x,2013-03-12T07:00:00Z,Southern California Coastal Water Research Project,1,NA,NA,0.99,NA,7,5,2.875,600,600,2,2,NA,NA,Bezzia/ Palpomyia,L,0,4,=,None,None,NA,NA,20639,X,NA,BMI_RWB_MCM,None,CEDEN,NA,NA,801SANT1x_03122013_BMI_RWB_MCM_1,Southern California Coastal Water Research Project,BMI_Margin-Ctr-Margin,NA,NA,NA,NA,1970-01-01T08:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,801SANT1x
1570163839,801SANT1x,2013-03-12T07:00:00Z,Southern California Coastal Water Research Project,1,NA,NA,0.99,NA,7,5,2.875,600,600,2,2,NA,NA,Brillia,L,0,4,=,None,None,NA,NA,20639,X,NA,BMI_RWB_MCM,None,CEDEN,NA,NA,801SANT1x_03122013_BMI_RWB_MCM_1,Southern California Coastal Water Research Project,BMI_Margin-Ctr-Margin,NA,NA,NA,NA,1970-01-01T08:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,801SANT1x
1570163840,801SANT1x,2013-03-12T07:00:00Z,Southern California Coastal Water Research Project,1,NA,NA,0.99,NA,7,5,2.875,600,600,2,2,NA,NA,Calineuria californica,L,0,1,=,None,None,NA,NA,20639,X,NA,BMI_RWB_MCM,None,CEDEN,NA,NA,801SANT1x_03122013_BMI_RWB_MCM_1,Southern California Coastal Water Research Project,BMI_Margin-Ctr-Margin,NA,NA,NA,NA,1970-01-01T08:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,801SANT1x
1570163841,801SANT1x,2013-03-12T07:00:00Z,Southern California Coastal Water Research Project,1,NA,NA,0.99,NA,7,5,2.875,600,600,2,2,NA,NA,Caloparyphus/ Euparyphus,L,0,16,=,None,None,NA,NA,20639,X,NA,BMI_RWB_MCM,None,CEDEN,NA,NA,801SANT1x_03122013_BMI_RWB_MCM_1,Southern California Coastal Water Research Project,BMI_Margin-Ctr-Margin,NA,NA,NA,NA,1970-01-01T08:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,801SANT1x
1570163842,801SANT1x,2013-03-12T07:00:00Z,Southern California Coastal Water Research Project,1,NA,NA,0.99,NA,7,5,2.875,600,600,2,2,NA,NA,Ceratopogonidae,L,1,1,=,None,D,NA,NA,20639,X,NA,BMI_RWB_MCM,None,CEDEN,NA,NA,801SANT1x_03122013_BMI_RWB_MCM_1,Southern California Coastal Water Research Project,BMI_Margin-Ctr-Margin,NA,NA,NA,NA,1970-01-01T08:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,801SANT1x
1570163843,801SANT1x,2013-03-12T07:00:00Z,Southern California Coastal Water Research Project,1,NA,NA,0.99,NA,7,5,2.875,600,600,2,2,NA,NA,Corynoneura,L,0,1,=,None,None,NA,NA,20639,X,NA,BMI_RWB_MCM,None,CEDEN,NA,NA,801SANT1x_03122013_BMI_RWB_MCM_1,Southern California Coastal Water Research Project,BMI_Margin-Ctr-Margin,NA,NA,NA,NA,1970-01-01T08:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,801SANT1x
1570163844,801SANT1x,2013-03-12T07:00:00Z,Southern California Coastal Water Research Project,1,NA,NA,0.99,NA,7,5,2.875,600,600,2,2,NA,NA,Corynoneura,P,0,2,=,None,None,NA,NA,20639,X,NA,BMI_RWB_MCM,None,CEDEN,NA,NA,801SANT1x_03122013_BMI_RWB_MCM_1,Southern California Coastal Water Research Project,BMI_Margin-Ctr-Margin,NA,NA,NA,NA,1970-01-01T08:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,801SANT1x
