name,MetricType,MetricSubtype,MetricForm,Use,Description,Notes
Bryo_Rich,Bryo,Taxonomic,Richness,TRUE,Bryophyte richness,
Grimmiaceae_Rich,Bryo,Taxonomic,Richness,TRUE,Grimmiaceae richness,
Grimmiaceae_RelRich,Bryo,Taxonomic,Relative richness,TRUE,Grimmiaceae relative richness,
Pottiaceae_Rich,Bryo,Taxonomic,Richness,TRUE,Pottiaceae richness,
Pottiaceae_RelRich,Bryo,Taxonomic,Relative richness,TRUE,Pottiaceae relative richness,
Bryaceae_Rich,Bryo,Taxonomic,Richness,TRUE,Bryaceae richness,
Bryaceae_RelRich,Bryo,Taxonomic,Relative richness,TRUE,Bryaceae relative richness,
LeftFams_Rich,Bryo,Sensitivity,Richness,FALSE,"Richness of Brachytheciaceae, Grimmiaceae, Leskeaceae, and Orthotrichaceae (families associated with reference sites)",
LeftFams_RelRich,Bryo,Sensitivity,Relative richness,FALSE,"Relative richness of Brachytheciaceae, Grimmiaceae, Leskeaceae, and Orthotrichaceae (families associated with reference sites)",
RightFams_Rich,Bryo,Sensitivity,Richness,FALSE,"Richness of Aulacomniaceae, Bryaceae, Fabroniaceae, Fissidentaceae, Fontinalaceae, Meesiacaeae, Mielichhoferaceae (families associated with non-reference sites)",
RightFams_RelRich,Bryo,Sensitivity,Relative richness,FALSE,"Relative richness of Aulacomniaceae, Bryaceae, Fabroniaceae, Fissidentaceae, Fontinalaceae, Meesiacaeae, Mielichhoferaceae (families associated with non-reference sites)",
Fugitive_Rich,Bryo,Life strategy,Richness,TRUE,Richness of taxa with a Fugitive life strategy (BET),
Fugitive_RelRich,Bryo,Life strategy,Relative richness,TRUE,,
Colonist_Rich,Bryo,Life strategy,Richness,TRUE,,
Colonist_RelRich,Bryo,Life strategy,Relative richness,TRUE,,
Perennial_Rich,Bryo,Life strategy,Richness,TRUE,,
Perennial_RelRich,Bryo,Life strategy,Relative richness,TRUE,,
Short_Lived_Shuttle_Rich,Bryo,Life strategy,Richness,TRUE,,
Short_Lived_Shuttle_RelRich,Bryo,Life strategy,Relative richness,TRUE,,
Long_Lived_Shuttle_Rich,Bryo,Life strategy,Richness,TRUE,,
Long_Lived_Shuttle_RelRich,Bryo,Life strategy,Relative richness,TRUE,,
