Metric,Metric_Method,MetricType,MetricSubtype,MetricForm,Use,UseNotes
Arth_Rich,Arth_Rich_Trap,Arth_Trap,Taxonomic,Richness,TRUE,
Arth_Abund,Arth_Abund_Trap,Arth_Trap,Taxonomic,Abundance,TRUE,
Insect_Rich,Insect_Rich_Trap,Arth_Trap,Taxonomic,Richness,TRUE,
Insect_RelRich,Insect_RelRich_Trap,Arth_Trap,Taxonomic,Relative richness,TRUE,
Insect_Abund,Insect_Abund_Trap,Arth_Trap,Taxonomic,Abundance,TRUE,
Insect_RelAbund,Insect_RelAbund_Trap,Arth_Trap,Taxonomic,Relative abundance,TRUE,
Noninsect_Rich,Noninsect_Rich_Trap,Arth_Trap,Taxonomic,Richness,TRUE,
Noninsect_RelRich,Noninsect_RelRich_Trap,Arth_Trap,Taxonomic,Relative richness,TRUE,
Noninsect_Abund,Noninsect_Abund_Trap,Arth_Trap,Taxonomic,Abundance,TRUE,
Noninsect_RelAbund,Noninsect_RelAbund_Trap,Arth_Trap,Taxonomic,Relative abundance,TRUE,
Coleo_Rich,Coleo_Rich_Trap,Arth_Trap,Taxonomic,Richness,TRUE,
Coleo_RelRich,Coleo_RelRich_Trap,Arth_Trap,Taxonomic,Relative richness,TRUE,
Coleo_Abund,Coleo_Abund_Trap,Arth_Trap,Taxonomic,Abundance,TRUE,
Coleo_RelAbund,Coleo_RelAbund_Trap,Arth_Trap,Taxonomic,Relative abundance,TRUE,
Araneae_Rich,Araneae_Rich_Trap,Arth_Trap,Taxonomic,Richness,TRUE,
Araneae_RelRich,Araneae_RelRich_Trap,Arth_Trap,Taxonomic,Relative richness,TRUE,
Araneae_Abund,Araneae_Abund_Trap,Arth_Trap,Taxonomic,Abundance,TRUE,
Araneae_RelAbund,Araneae_RelAbund_Trap,Arth_Trap,Taxonomic,Relative abundance,TRUE,
Araneae_Nat_Rich,Araneae_Nat_Rich_Trap,Arth_Trap,Taxonomic,Richness,TRUE,
Araneae_Nat_RelRich,Araneae_Nat_RelRich_Trap,Arth_Trap,Taxonomic,Relative richness,TRUE,
Araneae_Nat_Abund,Araneae_Nat_Abund_Trap,Arth_Trap,Taxonomic,Abundance,TRUE,
Araneae_Nat_RelAbund,Araneae_Nat_RelAbund_Trap,Arth_Trap,Taxonomic,Relative abundance,TRUE,
Formicidae_Rich,Formicidae_Rich_Trap,Arth_Trap,Taxonomic,Richness,TRUE,
Formicidae_RelRich,Formicidae_RelRich_Trap,Arth_Trap,Taxonomic,Relative richness,TRUE,
Formicidae_Abund,Formicidae_Abund_Trap,Arth_Trap,Taxonomic,Abundance,TRUE,
Formicidae_RelAbund,Formicidae_RelAbund_Trap,Arth_Trap,Taxonomic,Relative abundance,TRUE,
Formicidae_Nat_Rich,Formicidae_Nat_Rich_Trap,Arth_Trap,Taxonomic,Richness,TRUE,
Formicidae_Nat_RelRich,Formicidae_Nat_RelRich_Trap,Arth_Trap,Taxonomic,Relative richness,TRUE,
Formicidae_Nat_Abund,Formicidae_Nat_Abund_Trap,Arth_Trap,Taxonomic,Abundance,TRUE,
Formicidae_Nat_RelAbund,Formicidae_Nat_RelAbund_Trap,Arth_Trap,Taxonomic,Relative abundance,TRUE,
CAF_Rich,CAF_Rich_Trap,Arth_Trap,Taxonomic,Richness,TRUE,
CAF_RelRich,CAF_RelRich_Trap,Arth_Trap,Taxonomic,Relative richness,TRUE,
CAF_Abund,CAF_Abund_Trap,Arth_Trap,Taxonomic,Abundance,TRUE,
CAF_RelAbund,CAF_RelAbund_Trap,Arth_Trap,Taxonomic,Relative abundance,TRUE,
CAF_Nat_Rich,CAF_Nat_Rich_Trap,Arth_Trap,Taxonomic,Richness,TRUE,
CAF_Nat_RelRich,CAF_Nat_RelRich_Trap,Arth_Trap,Taxonomic,Relative richness,TRUE,
CAF_Nat_Abund,CAF_Nat_Abund_Trap,Arth_Trap,Taxonomic,Abundance,TRUE,
CAF_Nat_RelAbund,CAF_Nat_RelAbund_Trap,Arth_Trap,Taxonomic,Relative abundance,TRUE,
Nonnat_KRich,Nonnat_KRich_Trap,Arth_Trap,Invasiveness,Interim,FALSE,
Nonnat_Rich,Nonnat_Rich_Trap,Arth_Trap,Invasiveness,Richness,TRUE,
Nonnat_RelRich,Nonnat_RelRich_Trap,Arth_Trap,Invasiveness,Relative richness,TRUE,
Nonnat_KAbund,Nonnat_KAbund_Trap,Arth_Trap,Invasiveness,Interim,FALSE,
Nonnat_Abund,Nonnat_Abund_Trap,Arth_Trap,Invasiveness,Abundance,TRUE,
Nonnat_RelAbund,Nonnat_RelAbund_Trap,Arth_Trap,Invasiveness,Relative abundance,TRUE,
NonnatSynanth_KRich,NonnatSynanth_KRich_Trap,Arth_Trap,Invasiveness,Interim,FALSE,
NonnatSynanth_Rich,NonnatSynanth_Rich_Trap,Arth_Trap,Invasiveness,Richness,TRUE,
NonnatSynanth_RelRich,NonnatSynanth_RelRich_Trap,Arth_Trap,Invasiveness,Relative richness,TRUE,
NonnatSynanth_KAbund,NonnatSynanth_KAbund_Trap,Arth_Trap,Invasiveness,Interim,FALSE,
NonnatSynanth_Abund,NonnatSynanth_Abund_Trap,Arth_Trap,Invasiveness,Abundance,TRUE,
NonnatSynanth_RelAbund,NonnatSynanth_RelAbund_Trap,Arth_Trap,Invasiveness,Relative abundance,TRUE,
